,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10147,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19340868.0,19340868.0,False,,1,,,,2023-04-08T21:32:00.000Z,27930.719193595185,9476678268.644077,-11.8464,-0.11030687,0.12011115,-1.94808556,37.05413093,20.19450775,64.50962413,540204353068.3909,45.9205,586545103065.5,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
1,1027,Ethereum,ETH,ethereum,6706,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,120457776.0,120457776.0,False,,2,,,,2023-04-08T21:32:00.000Z,1854.9858540029252,5143659066.878386,-36.9347,-0.17072728,-0.19092945,1.87826186,28.68056481,11.19937862,45.95489874,223447470484.65308,18.9937,223447470484.65,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
2,825,Tether,USDT,tether,50911,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,80195385809.39134,83091735571.87251,False,,3,,,,2023-04-08T21:32:00.000Z,1.0003378241585996,17820398524.43773,-6.211,-0.01259484,-0.03546925,0.00051489,0.03428449,0.02615147,0.03826595,80222477748.12598,6.8194,83119805967.53,,2023-04-08T21:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-04-08 21:34:49.764797
3,1839,BNB,BNB,bnb,1246,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157886767.39446425,157886767.39446425,False,,4,,,,2023-04-08T21:32:00.000Z,311.0076026756336,461498190.255607,-2.5073,-0.05829609,-0.05844983,-1.33455474,12.88392396,-6.43358341,15.12888443,49103985021.557724,4.1744,49103985021.56,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
4,3408,USD Coin,USDC,usd-coin,11564,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32600512573.753765,32600512573.753765,False,,5,,,,2023-04-08T21:32:00.000Z,0.999878121017549,2331876490.4879994,-19.0682,-0.00678056,-0.00829469,0.00456196,-0.00988497,-0.02546385,-0.01849388,32596539256.453896,2.7709,32596539256.45,,2023-04-08T21:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-04-08 21:34:49.764797
5,52,XRP,XRP,xrp,928,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51688470797.0,99989014677.0,False,,6,,,,2023-04-08T21:32:00.000Z,0.5056573806279134,614546591.8622618,-41.5095,-0.27596616,-1.47918483,-0.86926608,37.03433295,25.74645051,47.97093035,26136656751.873417,2.2219,50565738062.79,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
6,2010,Cardano,ADA,cardano,764,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34758598386.956,35660688966.542,False,,7,,,,2023-04-08T21:32:00.000Z,0.3850759524007279,206257425.29300636,10.7077,-0.02688783,0.76913443,-2.31315689,25.19015088,-2.69499106,32.07729546,13384700377.971487,1.1378,17328417858.03,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
7,74,Dogecoin,DOGE,dogecoin,681,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,138858036383.70532,138858036383.70532,False,,8,,,,2023-04-08T21:32:00.000Z,0.08140748602343371,503072664.5559906,-47.4375,-0.08986125,-1.04571653,-0.50076488,23.37989104,-11.6173,12.19669291,11304083656.147942,0.9609,11304083656.15,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
8,3890,Polygon,MATIC,polygon,648,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9164469069.28493,10000000000.0,False,,9,,,,2023-04-08T21:32:00.000Z,1.105295518367307,139004572.52941382,-29.8609,-0.17820081,-0.15295458,-0.29738359,9.45668855,-12.33759196,34.86003136,10129446590.496437,0.8611,11052955183.67,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
9,5426,Solana,SOL,solana,454,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,387940099.4625843,539312704.8875339,False,,10,,,,2023-04-08T21:32:00.000Z,20.176992067492222,160054224.18296462,-6.9795,-0.25185241,-1.30847105,-4.28595822,16.82907919,-14.77103531,46.7571138,7827464309.518707,0.6654,10881708168.41,,2023-04-08T21:32:00.000Z,,,,,,2023-04-08 21:34:49.764797
